corpus_author_id,name,num_citations,num_papers,i10,h_index,h_class
49497916,Ana Miriam Clemades Méndez,639,38,16,12,H
39834295,Brian R. Copeland,1004,42,9,9,L
34930895,Jørgen Bendix,820,14,8,9,L
3052691,Stéphane Pascal Dufour,1502,138,22,17,H
145938212,Hans Kamp,4654,133,39,25,H
96840766,Roland Liemberger,245,22,6,7,L
113091293,Giulio Bellizia,0,2,0,1,L
4031920,Anthony M Heagerty,6658,382,115,39,H
4909767,Alireza Esteghamati,4553,235,88,30,H
2368678,Jozef Baruník,1233,86,19,14,H
1403359125,H. A. Lingstone,626,1,1,1,L
35136589,Chun-liang Lei,1152,24,2,4,L
1843755,Catherine Longworth,24,6,1,3,L
97737745,Barry A. Colbert,499,12,6,6,L
144420297,C Michael Gibson,24145,672,297,73,H
103194076,Carol Surprenant,1761,7,5,7,L
51915749,W. Zhu Y. Bai,2,3,0,1,L
4374512,Shireen Abdelgawad Hafez,209,29,3,6,L
152584223,Paul Lujan,5355,516,115,34,H
8554944,Kuan-Pin Su,2579,158,50,25,H
40517469,Gerard Pauley,92,6,1,1,L
1483742117,عروة الزعبي,0,1,0,1,L
1394815101,JohnnyU.V. Monu,522,2,1,2,L
153594364,J. C. Maureira,44,17,1,3,L
4010399,Michael W. Eysenck,9328,259,103,38,H
145974626,Gray A. Williams,1902,212,63,23,H
34634934,Michael Bibby,208,19,5,6,L
33345159,Paul Robin Krugman,25848,321,140,73,H
49394649,Jian Xu,961,87,21,15,H
30940651,Alihossein Sepahvand,148,20,7,9,L
32245455,Rodrigo de Brito Cordeiro,11,3,0,2,L
94499484,Jeffrey Kimball,47,20,1,4,L
96265332,Alice Magnani,2855,323,71,24,H
12012463,Ronald V. Clarke,4243,155,57,29,H
153526175,G Bolan,77,8,1,2,L
3805042,William J. Bellini,11358,268,176,50,H
49475470,Arielle R. Rosenberg,943,61,24,17,H
48190736,Peter E. Peters,1859,327,41,23,H
47241039,Elske de Kanter,182,5,3,3,L
4623141,Joseph E. Stiglitz,19161,485,174,57,H
144756673,Ying Xu,1414,213,44,21,H
90682604,Yan Chen,117,27,3,5,L
153094035,Ming Dong Zhou,384,19,10,10,H
39718117,Michelle R. Molis,718,58,13,13,H
16221889,Robert Arp,430,53,2,6,L
39017954,Tolesa Bekele,3015,24,14,13,H
5287808,Eleftherios P Mamounas,8895,169,70,46,H
50342135,Shiyue Li,88,28,1,6,L
143713439,James R. Cowie,768,81,16,13,H
144535266,Teichert M Huang,433,2,1,1,L
70952562,Technické V Brně,498,195,2,4,L
4545568,Seung-Yul Lee,210,54,7,9,L
1720496,Hang Chi,576,80,15,12,H
4289694,Neil C Dodge,593,42,21,17,H
145410013,John Elkington,1677,66,11,11,H
1718355,Dong Liu,10651,1668,245,42,H
46438662,Celia Roberts,1969,199,42,25,H
3549900,Fangqiang Wei,207,12,2,3,L
50652037,Ming Li,3492,128,43,27,H
47188169,Raquel C. Marion,681,2,1,1,L
144831035,Jong-Won Ha,1263,264,44,20,H
3603363,Joan Cox Gill,2673,222,62,28,H
2125898,Huilin Li,4765,144,71,36,H
3758099,Suzy V. Torti,6806,176,90,43,H
1729096,Juan Manuel Corchado,4624,666,142,33,H
119338865,Uganda Land Alliance,78,3,1,2,L
49319257,Razelle Kurzrock,24455,1270,499,74,H
152145276,Robert James Hirosky,12210,1306,213,43,H
31234193,Edric Gill,92,12,3,4,L
144748907,Nicholas Steel,4660,104,29,23,H
2769326,Steven Lowette,9531,1116,239,46,H
51989054,James Coady,183,7,1,3,L
46315808,Miguel A. López,485,7,2,2,L
145474816,Zeev Kaplan,2399,108,57,28,H
3439741,Werner Budts,6291,581,107,33,H
5754976,Nooshin Aghili,45,9,1,2,L
100772377,Ismail Okan Atakisi,360,152,11,11,H
47066544,Kathleen Walther,211,18,4,5,L
34222180,Gatana Stoner,756,5,3,5,L
1398488293,Christina Jerosch-Herold,986,129,27,18,H
46836279,David S. Baldwin,6339,511,154,43,H
47108461,Ye Jin Yi,30,67,1,4,L
87842424,Young-Dae Yu,101,3,1,1,L
98686441,Gregory Iles,9050,584,136,36,H
49853736,Eugene L. Berger,121,17,2,4,L
3547116,Hartwig Gajek,29,16,2,3,L
145188349,John M. Butler,5556,564,119,36,H
6873572,Ada Linkies,1037,20,14,14,H
144848684,Leon O. Chua,23748,918,318,70,H
22835682,Emily Toth Martin,1935,182,46,23,H
2979201,Robert M. Townsend,7540,192,66,35,H
145261302,Denis Nash,9126,213,91,40,H
153126300,G. H. Naik,689,19,5,6,L
2803327,T. Erkinjuntti,16828,323,200,57,H
145136021,Michele Zorzi,20224,920,358,64,H
91653928,Venera Boldea,10795,655,174,45,H
1403857105,Muriel Saville‐Troike,494,35,5,6,L
34456431,Margit Geissler,347,35,14,13,H
134796837,Tayyaba Mahmood,2,1,0,1,L
4793920,Fiona M. Blows,2129,38,29,21,H
70227592,Bill Chewning,19,2,1,2,L
52172996,Haijian Shi,167,7,2,3,L
48093338,Jin-Jun Wang,1355,242,44,17,H
4831962,Anna Mangilli,3301,103,34,23,H
144794037,Bill Gates,473,90,7,9,L
6517830,Bruno Campos Janegitz,318,75,13,11,H
144731788,Stephen J. Wright,19859,300,123,45,H
3584299,Katsuyuki Fukutake,832,294,18,12,H
29887518,Patrick D. Murphy,426,123,15,13,H
152130659,Arne Høst,2995,90,39,25,H
92899428,Katherine Eremin,15,29,0,3,L
1688013,Faisal Shafait,4083,160,87,30,H
152767581,Maurice Giroud,6335,97,33,20,H
1512961730,Zhenjun Xiang,45,1,1,1,L
36829932,Jie Zhang,9853,1133,215,38,H
3852740,Timothy J. Spellman,893,19,12,12,H
2941381,Nicolas Breton,23,11,0,4,L
4084228,Vidyasagar Pampati,8650,168,143,57,H
121459003,Herbert V. Fackler,1,3,0,1,L
69505634,Batool Safarzadeh,6091,537,139,36,H
39522506,Jonathan A. Tepper,267,33,9,9,L
2264665,Thomas Holgersson,84,29,2,3,L
66454233,Jérémie Tanguay,1286,3,1,2,L
79549602,John Oropello,528,19,4,5,L
39306319,Guohui Fan,2364,24,4,7,L
117825482,E. William Anderson,9319,34,23,21,H
46291683,Martin Petric,1480,33,10,10,H
4744063,Christine S Vogeli,1224,31,15,13,H
1420203500,Michael L. Manco-Johnson,315,9,3,5,L
98252344,Rachel Bartek,2910,415,69,24,H
4859855,Adam J. Berinsky,2752,73,21,19,H
147493789,Mikhail Ignatenko,1812,233,34,18,H
46772932,Xinqi Chen,93,21,3,7,L
6986938,John W. Edmunds,376,14,6,6,L
27073434,Emtinan Alqurashi,34,7,1,3,L
38119377,William H. Stallings,5667,82,32,23,H
144146525,Miguel Caballer,358,56,14,11,H
5539823,Rebecca A. Daly,913,51,17,15,H
87933175,Galuh Setyanto Pradana,2,2,0,2,L
117926956,Freya Blekman,15677,1549,336,49,H
100631749,Hamid Naficy,394,147,6,9,L
48237612,Vernon H. Lee,469,51,16,12,H
1402984326,Ruth Hendus-Altenburger,132,12,3,4,L
32562028,Cathy Chang,747,16,1,2,L
1403051964,Laurie O’brien,2542,57,21,17,H
144889520,Robin Milner,23676,282,115,53,H
102421245,Andrew Godshalk,6476,494,134,36,H
16216890,Ganapi Akhmedov,1,14,0,1,L
4351454,Joseph Raymond Zunt,3549,122,41,23,H
38290746,Tony S Wen,281,32,6,7,L
6481075,Neal S. Kleiman,11104,527,168,48,H
104628280,Mijaíl Malishev,14,73,0,3,L
29763070,Paola Albini,298,76,8,9,L
14283102,Jeremy Moon,1423,18,1,3,L
1606091091,Yan Ni Xiao,1,1,0,1,L
4774205,Amal Jubran,3271,129,50,33,H
47021367,William Joseph Whalen,127,27,3,5,L
49559535,Yuri Skovpen,1450,342,37,20,H
40003030,Inge Krebs,476,34,13,12,H
145280810,Russ Thomas,252,23,5,7,L
8350854,Marjorie J. Albohm,1348,26,6,7,L
1481753503,Pengfei Sun,47,8,2,3,L
12871842,Donald J. Coluzzi,440,36,7,9,L
145599888,Cláudia Dornelles,76,7,4,4,L
143805998,Sudarshan Paramesvaran,6842,648,143,37,H
143838133,Muzammil Jusoh,529,121,17,13,H
153073328,Badisa Ramesh,76,2,1,1,L
145194978,Chao Xu,4887,933,129,33,H
3301529,Frank M. Torti,9196,294,137,50,H
31472073,Karine Becker Gerent,24,3,1,3,L
3227173,Dimitra Daferera,3210,64,36,29,H
3048216,William T. Ziemba,3148,455,63,27,H
3025583,Mikhail Korobov,1671,121,7,9,L
1565442723,Thadeus Burgess,5,1,0,1,L
144663157,David Kheng Leng Sim,368,44,10,10,H
8095726,Fangyu Cui,202,12,3,5,L
151021052,Hindol Das,1,1,0,1,L
83398940,M C Massarollo,389,73,13,12,H
33657327,Aysun Savaş,50,9,1,3,L
16766950,C J Schlagel,151,13,3,5,L
144719222,Patrick Zou,1143,171,30,17,H
69874254,Wayne Geerling,29,29,0,4,L
3984990,Daxin Chen,1172,56,26,16,H
5683671,Kurt S. Stenn,3628,131,65,29,H
3664964,Lining Pan,186,47,5,9,L
3794444,Mohammad Saadat,71,22,1,4,L
5022184,Hugh A Sampson,30483,981,381,93,H
31627801,Linda B. Adams,1551,82,29,19,H
1728219,Vivek Sarkar,10078,403,143,49,H
1571371746,Fengyun Gong,1245,3,2,3,L
50506584,Albert,16745,217,8,10,H
5152834,Frank W. Porell,1071,72,26,18,H
2518131,Runsun Zhang,171,7,4,6,L
3417561,Anahita Ghazvini,19,7,0,3,L
1998750,Kathleen Mullan Harris,5912,146,54,31,H
34132366,Piotr Ponikowski,20948,212,75,42,H
145059889,Margaret Griffin,620,45,10,10,H
2440643,Lope H. Barrero,8011,73,34,28,H
14104880,Soheil Hassanipour,116,51,2,7,L
145861943,Ye Hwa Jin,2473,16,7,7,L
33216937,Melinde R. S. Boland,418,57,11,11,H
144205595,Markus Bauer,3036,20,8,9,L
36676378,Josep Rialp,1048,52,17,14,H
35058619,James A. Mortimer,7876,240,96,43,H
5899490,Radka Končitíková,83,19,4,6,L
50665735,Joseph A. Engelbrecht,52,7,4,5,L
2234095,Luigi Camporota,3426,118,23,14,H
5721097,Luke Nyakarahuka,4149,41,15,14,H
50306507,Martin M Schulz,120,17,3,5,L
47668858,Lymon C. Reese,1641,93,23,17,H
48546250,Rajesh Mahtani,152,5,3,4,L
3174007,Vladimir Bulovic,7265,336,119,44,H
3616558,Bruno Coignard,3080,91,44,27,H
47189719,William L. Berry,547,29,7,7,L
39493046,Lynn Abrams,194,74,3,6,L
33221685,Jiashi Feng,7307,320,128,45,H
2730713,Rik Sferra,224,2,1,1,L
46291716,Michael A. Dean,846,10,7,8,L
50211423,Kajari Mazumdar,9606,798,148,37,H
97515440,Mark Okrent,96,30,2,4,L
1992129,Nicholas G. Reich,1581,92,33,20,H
80361039,Abbas Ali Mahdi,1193,13,2,4,L
38978232,Jianping Gou,336,63,10,10,H
1759366,Stefan Arnborg,1923,100,26,18,H
3261872,Chunxi Li,148,46,4,7,L
93514322,Sándor Czellár,11504,997,183,43,H
6435262,Jonathan D. Finn,961,35,14,13,H
50541847,Subhasis Nandi,2470,87,27,20,H
144513980,Maxime Aubert,514,48,15,13,H
103111488,Jeffrey Roskes,3026,392,64,24,H
2271533,Graziano Ceccarelli,1033,127,20,16,H
1614034786,Yanni Liu,95,5,2,4,L
4498861,Vladan Starcevic,1846,226,48,20,H
145054136,Richard See,155,26,3,6,L
144699136,Sanjeev Kulkarni,640,27,5,6,L
1382866570,F. Ricci-tam,5709,584,123,35,H
144831184,L. Chevalier,4638,421,91,34,H
38024774,Oksana Gorbatyuk,142,14,4,5,L
4954774,Sean M Tweedy,738,94,20,15,H
31873175,Maria João Ferreira Custódio,46,19,1,4,L
152702479,Philipp Fischer,12247,50,15,14,H
12868168,Lesya Mykhaylivna Shchutska,5673,570,110,34,H
1748224,Rafail Ostrovsky,18228,416,198,61,H
102353656,Håkan Håkansson,7124,171,55,33,H
3319245,Jan Rossaint,2080,76,44,26,H
4703405,Mark C. Enright,11291,128,84,46,H
144047551,Bo Peng,1011,355,36,16,H
8415020,Thomas M. Kelley,527,75,18,12,H
48643429,Natalya F. Noy,4142,3,3,3,L
73776185,C R Tidy,1210,3,3,3,L
107724734,Lesley Kinsley,124,4,2,2,L
5389236,Nathan K Evanson,1493,33,13,12,H
2465675,Barry Kreiswirth,21839,528,292,80,H
70131949,Peter Grösche,187,32,5,7,L
2605297,Leonid Teytelman,1585,12,10,10,H
3777840,Stéphanie Manel,6464,118,53,35,H
3144459,Tetsuro Mimura,1948,116,45,22,H
1405429709,J E M van Diemen-Homan,148,3,3,3,L
1796525,Hervé Lévesque,3222,603,67,29,H
52228152,Zoe Hoare,635,86,18,13,H
2888415,Liliang Zhang,439,9,3,3,L
34857811,Richard Yi-Tsun Tsun Kao,800,51,21,16,H
1403634945,Irene García-Domínguez,50,3,1,3,L
49654289,Séverin Lemaignan,177,8,2,4,L
6567702,Chiaki Kamei,1769,283,72,19,H
3190407,William E. McIlroy,8135,281,158,50,H
145464768,Daniel J. Sandin,2152,46,12,12,H
21772128,Fischer Black,18998,66,32,25,H
71049628,Edward F. Fritsch,70688,24,16,15,H
31482056,Juan Carlos Galán,1498,75,27,19,H
89759423,Jan Terje Andersen,1272,85,35,20,H
37443005,Angeline Angwin,70,8,2,4,L
47265641,Alessandro Thea,9458,679,151,38,H
48175858,Andrea Sullivan,383,45,6,7,L
1756978,Adam Paul Arkin,29511,486,228,72,H
145977875,Antal van den Bosch,4016,269,89,30,H
3362196,John Antonakis,3373,154,44,29,H
4663507,Dhruv S Kazi,5143,96,28,20,H
4828765,Peter Salama,2227,48,27,18,H
7177665,Jay Hyunjae Yu,82,3,1,2,L
12341840,Yijie Fang,37,8,1,4,L
2451831,Kar Wai Lim,150,18,5,7,L
40164367,Jeremy Garnett,180,10,1,2,L
7623914,Bo K. Siesjö,14923,436,256,62,H
1397976861,Caleb J Banta-Green,2110,64,24,20,H
2069729,Antonio Manzalini,1055,128,25,17,H
39942665,Yinghui Quan,191,28,5,8,L
144556101,Elizabeth Chang,5025,493,131,31,H
145253782,Ivan Moreno,907,93,26,18,H
79546989,Pierre Venet,15,4,0,3,L
152443740,Felipe Araujo,554,178,15,12,H
49314747,Muhammad Aamir Sajid,196,25,6,7,L
3852032,Abdulmaged M Traish,5601,298,127,41,H
6106888,Lisa G Shaffer,13171,456,234,58,H
6053336,Eva M. Sierminska,754,77,19,14,H
8553015,Jiasen Lu,3122,24,13,12,H
1441929606,T. G. Olfer'eva,2,5,0,1,L
153921468,Dong-Chul Son,4035,230,32,18,H
47521290,Sumbul Abid,34,4,1,1,L
30132719,Gilles Billen,3018,99,45,26,H
152477939,Evrim Ersin Kangal,4755,454,103,30,H
145266043,Gerardo Vázquez,600,69,7,8,L
32489281,Rami J. Haddad,190,96,5,7,L
46310202,Josef Coresh,68067,1041,511,112,H
114793883,Marc J. Melitz,9991,71,37,28,H
36526854,Radhi Krishnan,108,3,2,2,L
146741312,Fahreza Fauzi Putra,3,1,0,1,L
6760412,Ben Kelmendi,431,14,10,10,H
1740574,Clyde W. Holsapple,5384,303,103,40,H
92673661,Samuel A. Vigil,1158,32,2,3,L
145476980,William Friedman,5661,407,113,34,H
144139962,Jennifer Healey,3892,52,21,17,H
2722513,Fulvia Ferrazzi,214,24,7,8,L
2986554,Eric Persoon,783,7,3,4,L
39177091,Huw C. Davies,3073,202,56,28,H
69014145,Stephen Kemmis,7043,164,52,32,H
152574643,Abdelouahab Abdesselam,3060,140,35,23,H
13764312,Amal Y Alaidaroos,149,3,1,3,L
72434313,Cecilia Uribe Estrada,1761,324,50,21,H
7331145,Andrea Werdecker,10015,69,42,32,H
30472155,Koji Okamoto,694,82,7,9,L
5371781,Raja Parasuraman,4824,136,41,25,H
40137435,Felice C. Frankel,90,32,2,3,L
2490779,Christian Limpach,2367,4,3,3,L
6979122,Ronaldo Adriano Christofoletti,213,35,9,10,H
144311716,J. Jeffrey Inman,3058,101,41,30,H
15622019,Rebeca Raposo de Aquino,14,2,1,2,L
145744467,Roger G. Evans,13,36,0,2,L
2713848,Annick Dhooge,820,26,8,9,L
1782792,Afif Osseiran,2061,74,18,14,H
91199318,Fabio Ravera,3016,395,73,24,H
145186602,H. P. Lavrado,241,56,6,9,L
2596327,Hong Bae Kim,489,101,11,11,H
49024940,Jingwen Huang,98,14,5,7,L
49252783,JunFen Fu,518,74,11,11,H
66703455,Tim Lomas,357,110,10,10,H
80077489,S. Mathurajothi,10,4,1,1,L
39226220,Kobus Venter,116,13,2,3,L
1382721585,Tamás Álmos Vámi,365,166,11,11,H
47157301,Naveed Sattar,3585,126,29,16,H
82378076,David Carpenter,4664,26,10,10,H
2746328,Anca Ioana Andreescu,198,29,3,5,L
87710359,Kohei Oshima,18,4,1,2,L
69034116,Sonja Kovačević,286,39,1,3,L
28336996,Sumălan Radu,20,10,1,3,L
8512661,Jianhua Gu,714,52,8,8,L
3328876,George J. Avlonitis,1582,114,35,19,H
26198803,Fabio Antonelli,478,46,12,11,H
47319873,Songhua Li,132,25,4,7,L
5629212,Eric Holmboe,7761,296,141,48,H
144281155,Albert D.M.E. Osterhaus,11714,419,246,52,H
3538676,Barbara J Morgan,3616,111,57,33,H
3516049,Eliza Hutter,1025,38,10,10,H
122647477,Michael Waldstein,21,6,1,2,L
47940382,Scott E. Glaser,1719,13,10,10,H
46955334,Roberto González,520,53,5,6,L
66624722,H Lampard,1210,4,3,3,L
34298332,Patricia M. Riccio,2194,41,13,13,H
123327307,R. J. M. Berkhout,873,2,1,2,L
145989068,S. B. G. Eysenck,2216,44,19,14,H
5239053,Ki-Yoon Kim,205,44,6,6,L
2429765,Shanshan Zhao,1081,144,32,17,H
5972867,Ramin Heshmat,3745,360,96,32,H
